,element,binding_energy,nuetron_number,element_name,proton_number
320,51Ti,444.1576,51,Ti,22
321,61Cr,515.8215,61,Cr,24
322,67Fe,566.5055,67,Fe,26
323,71Ni,606.8065,71,Ni,28
324,52Ti,451.9671,52,Ti,22
325,62Cr,522.3030,62,Cr,24
326,68Fe,572.9670,68,Fe,26
327,72Ni,613.9280,72,Ni,28
328,53Ti,457.4046,53,Ti,22
329,63Cr,525.1245,63,Cr,24
330,69Fe,575.8784,69,Fe,26
331,73Ni,617.6095,73,Ni,28
332,54Ti,464.1761,54,Ti,22
333,64Cr,531.0659,64,Cr,24
334,70Fe,581.7999,70,Fe,26
335,74Ni,624.2709,74,Ni,28
336,55Ti,468.1725,55,Ti,22
337,65Cr,533.2274,65,Cr,24
338,71Fe,584.2914,71,Fe,26
339,75Ni,627.8424,75,Ni,28
340,56Ti,474.4790,56,Ti,22
341,66Cr,538.8289,66,Cr,24
342,72Fe,589.7529,72,Fe,26
343,76Ni,634.2939,76,Ni,28
344,57Ti,477.1405,57,Ti,22
345,46Mn,364.1969,46,Mn,25
346,50Co,400.4280,50,Co,27
347,77Ni,637.3054,77,Ni,28
348,58Ti,482.7620,58,Ti,22
349,47Mn,382.4484,47,Mn,25
350,51Co,417.9394,51,Co,27
351,78Ni,642.9769,78,Ni,28
352,59Ti,484.7534,59,Ti,22
353,48Mn,397.0809,48,Mn,25
354,52Co,432.8779,52,Co,27
355,79Ni,644.1283,79,Ni,28
356,60Ti,489.9249,60,Ti,22
357,49Mn,413.5524,49,Mn,25
358,53Co,449.3014,53,Co,27
359,55Cu,452.8705,55,Cu,29
360,61Ti,491.4064,61,Ti,22
361,50Mn,426.6378,50,Mn,25
362,54Co,462.7409,54,Co,27
363,56Cu,467.8959,56,Cu,29
364,43V,346.9974,43,V,23
365,51Mn,440.3223,51,Mn,25
366,55Co,476.8303,55,Co,27
367,57Cu,484.7334,57,Cu,29
368,44V,360.9489,44,V,23
369,52Mn,450.8578,52,Mn,25
370,56Co,486.9138,56,Co,27
371,58Cu,497.1169,58,Cu,29
372,45V,377.0953,45,V,23
373,53Mn,462.9133,53,Mn,25
374,57Co,498.2903,57,Co,27
375,59Cu,509.8794,59,Cu,29
376,46V,390.3668,46,V,23
377,54Mn,471.8517,54,Mn,25
378,58Co,506.8638,58,Co,27
379,60Cu,519.9418,60,Cu,29
380,47V,403.3673,47,V,23
381,55Mn,482.0782,55,Mn,25
382,59Co,517.3172,59,Co,27
383,61Cu,531.6513,61,Cu,29
384,48V,413.9088,48,V,23
385,56Mn,489.3487,56,Mn,25
386,60Co,524.8087,60,Co,27
387,62Cu,540.5378,62,Cu,29
388,49V,425.4622,49,V,23
389,57Mn,498.0002,57,Mn,25
390,61Co,534.1312,61,Co,27
391,63Cu,551.3903,63,Cu,29
392,50V,434.7967,50,V,23
393,58Mn,504.4146,58,Mn,25
394,62Co,540.7287,62,Co,27
395,64Cu,559.3068,64,Cu,29
396,51V,445.8482,51,V,23
397,59Mn,512.1321,59,Mn,25
398,63Co,549.2162,63,Co,27
399,65Cu,569.2172,65,Cu,29
400,66Cu,576.2827,66,Cu,29
401,60Ga,500.2130,60,Ga,31
402,82Ge,702.2030,82,Ge,32
403,74Se,642.9013,74,Se,34
404,67Cu,585.4012,67,Cu,29
